arxiv_category_ID,arxiv_category
1,astro-ph
2,astro-ph.CO
3,astro-ph.EP
4,astro-ph.GA
5,astro-ph.HE
6,astro-ph.IM
7,astro-ph.SR
8,cond-mat.dis-nn
9,cond-mat.mes-hall
10,cond-mat.mtrl-sci
11,cond-mat.other
12,cond-mat.quant-gas
13,cond-mat.soft
14,cond-mat.stat-mech
15,cond-mat.str-el
16,cond-mat.supr-con
17,cs.AI
18,cs.AR
19,cs.CC
20,cs.CE
21,cs.CG
22,cs.CL
23,cs.CR
24,cs.CV
25,cs.CY
26,cs.DB
27,cs.DC
28,cs.DL
29,cs.DM
30,cs.DS
31,cs.ET
32,cs.FL
33,cs.GL
34,cs.GR
35,cs.GT
36,cs.HC
37,cs.IR
38,cs.IT
39,cs.LG
40,cs.LO
41,cs.MA
42,cs.MM
43,cs.MS
44,cs.NA
45,cs.NE
46,cs.NI
47,cs.OH
48,cs.OS
49,cs.PF
50,cs.PL
51,cs.RO
52,cs.SC
53,cs.SD
54,cs.SE
55,cs.SI
56,cs.SY
57,econ.EM
58,econ.GN
59,econ.TH
60,eess.AS
61,eess.IV
62,eess.SP
63,eess.SY
64,gr-qc
65,hep-ex
66,hep-lat
67,hep-ph
68,hep-th
69,math.AC
70,math.AG
71,math.AP
72,math.AT
73,math.CA
74,math.CO
75,math.CT
76,math.CV
77,math.DG
78,math.DS
79,math.FA
80,math.GM
81,math.GN
82,math.GR
83,math.GT
84,math.HO
85,math.IT
86,math.KT
87,math.LO
88,math.MG
89,math.MP
90,math.NA
91,math.NT
92,math.OA
93,math.OC
94,math.PR
95,math.QA
96,math.RA
97,math.RT
98,math.SG
99,math.SP
100,math.ST
101,math-ph
102,nlin.AO
103,nlin.CD
104,nlin.CG
105,nlin.PS
106,nlin.SI
107,nucl-ex
108,nucl-th
109,physics.acc-ph
110,physics.ao-ph
111,physics.app-ph
112,physics.atm-clus
113,physics.atom-ph
114,physics.bio-ph
115,physics.chem-ph
116,physics.class-ph
117,physics.comp-ph
118,physics.data-an
119,physics.ed-ph
120,physics.flu-dyn
121,physics.gen-ph
122,physics.geo-ph
123,physics.hist-ph
124,physics.ins-det
125,physics.med-ph
126,physics.optics
127,physics.plasm-ph
128,physics.pop-ph
129,physics.soc-ph
130,physics.space-ph
131,q-bio.BM
132,q-bio.CB
133,q-bio.GN
134,q-bio.MN
135,q-bio.NC
136,q-bio.OT
137,q-bio.PE
138,q-bio.QM
139,q-bio.SC
140,q-bio.TO
141,q-fin.CP
142,q-fin.EC
143,q-fin.GN
144,q-fin.MF
145,q-fin.PM
146,q-fin.PR
147,q-fin.RM
148,q-fin.ST
149,q-fin.TR
150,quant-ph
151,stat.AP
152,stat.CO
153,stat.ME
154,stat.ML
155,stat.OT
156,stat.TH
