affiliation2pub_id,affiliation_id,publication_id
1,1,200001
2,1,200002
3,1,200003
4,1,200004
5,1,200005
6,1,200006
7,1,200007
8,1,200008
9,1,200009
10,1,200010
11,1,200011
12,1,200012
13,1,200013
14,1,200014
15,1,200015
16,1,200016
17,1,200017
18,1,200018
19,1,200019
20,1,200020
21,1,200021
22,1,200022
23,1,200023
24,1,200024
25,1,200025
26,1,200026
27,1,200027
28,1,200028
29,1,200029
30,1,200030
31,1,200031
32,1,200032
33,1,200033
34,1,200034
35,1,200035
36,1,200036
37,1,200037
38,1,200038
39,1,200039
40,1,200040
41,1,200041
42,1,200042
43,1,200043
44,1,200044
45,1,200045
46,1,200046
47,1,200047
48,1,200048
49,1,200049
50,1,200050
51,2,200031
52,3,200044
53,4,200044
54,5,200044
55,6,200044
56,7,200044
