venue_ID,abbreviation
1,Phys. Rev. D
2,Illinois J. Math.
3,Phys. Rev. A
4,J. Appl. Phys.
5,ApJ
6,J. High Energy Phys.
7,Commun. Theor. Phys.
8,Monthly Notices of the Royal Astronomical Society
9,RIMS Kokyuroku No.
10,Phys. Rev. Lett.
11,Astrophys Space Sci
12,Math. Res. Lett.
13,J Low Temp Phys
14,Physics Letters B
15,J. Opt. Soc. Am. A
16,J.Opt.Soc.Am.A
17,J.Quant.Spectrosc.Radiat.Transf.
18,Commun. Math. Phys.
19,Physica A V.
20,ApJS
21,J. Fluid Mech.
22,Journal of Mathematical Physics
23,Class.Quant.Grav.
